nonzero,polish,polish,base,base,full_mean,full_std
,mean,std,mean,std,,
1,0.7105730488141031,0.042007255794020516,0.7138558735563042,0.033264566765500186,0.9796966357545582,0.0072062838286804055
2,0.8187184685941277,0.05088133878875861,0.8498746065084886,0.038881031050434736,0.9796966357545582,0.0072062838286804055
3,0.9300483630952382,0.007776878114598782,0.924639136904762,0.012030878238862334,0.9796966357545582,0.0072062838286804055
4,0.9739440401035078,0.011371297931291127,0.959672294467235,0.0110905735694709,0.9796966357545582,0.0072062838286804055
5,0.9651751662468699,0.015902795918785833,0.9625943543012484,0.01396387045320498,0.9796966357545582,0.0072062838286804055
6,0.9637496533555187,0.0036190082299971823,0.9703358985024958,0.010571819873142083,0.9796966357545582,0.0072062838286804055
7,0.9832147799662244,0.004834525812773485,0.9801728141119039,0.007280787460823072,0.9796966357545582,0.0072062838286804055
8,0.9741844909022597,0.003809877768033811,0.9586565653346573,0.01094676187019178,0.9796966357545582,0.0072062838286804055
9,0.9683872542909945,0.009169540243205111,0.9681778287694967,0.009085798812220236,0.9796966357545582,0.0072062838286804055
10,0.9608581030839722,0.010385384019875807,0.9573720389422754,0.011042975574744218,0.9796966357545582,0.0072062838286804055
11,0.9722680872285495,0.008850061095148482,0.9726842390992774,0.010665492879825834,0.9796966357545582,0.0072062838286804055
12,0.9749879233535506,0.0034165293392930795,0.9717764299643963,0.009533530610060957,0.9796966357545582,0.0072062838286804055
13,0.9813022822212482,0.0125877901885098,0.9791381580676929,0.00719285921740642,0.9796966357545582,0.0072062838286804055
16,0.9796038859964575,,0.9479630722988568,,0.9796966357545582,0.0072062838286804055
17,0.9765713058880361,,0.9815361494283721,,0.9796966357545582,0.0072062838286804055
